Note. A total of 2904 bursts have been collected by the end of March 2022, 
comprising the arrival time, fluences and references/telescopes for  each.
*: For detections where the fluences were not reported in the literature, 
we have used a fluence of 1 Jy ms.

FAST (Xu et al. 2022, Nature, 609, 685)
Burst	TOA (MJD)	Fluece (Jy ms)
185	59484.82964 	0.509
186	59484.83043 	0.07
187	59484.83043 	0.267
188	59484.83043 	0.12
189	59484.83059 	0.478
190	59484.83060 	1.197
191	59484.83060 	0.056
192	59484.83066 	0.199
193	59484.83072 	0.024
194	59484.83074 	0.104
195	59484.83074 	0.289
196	59484.83084 	0.517
197	59484.83135 	0.069
198	59484.83190 	3.397
199	59484.83202 	1.561
200	59484.83204 	0.625
201	59484.83209 	0.039
202	59484.83249 	0.112
203	59484.83274 	0.061
204	59484.83287 	0.229
205	59484.83287 	0.078
206	59484.83305 	0.077
207	59484.83308 	0.082
208	59484.83308 	3.017
209	59484.83323 	1.495
210	59484.83331 	0.038
211	59484.83331 	0.184
212	59484.83416 	0.404
213	59484.83476 	0.916
214	59484.83489 	2.462
215	59484.83525 	2.263
216	59484.83525 	0.117
217	59484.83536 	3.008
218	59484.83562 	0.025
219	59484.83562 	0.127
220	59484.83562 	0.276
221	59484.83594 	0.514
222	59484.83594 	0.395
223	59484.83603 	0.033
224	59484.83620 	1.345
225	59484.83629 	0.227
226	59484.83633 	0.418
227	59484.83634 	0.135
228	59484.83652 	0.116
229	59484.83653 	1.757
230	59484.83665 	0.022
231	59484.83682 	0.78
232	59484.83691 	0.385
233	59484.83697 	0.066
234	59484.83706 	0.155
235	59484.83706 	0.217
236	59484.83729 	1.868
237	59484.83754 	0.1
238	59484.83880 	0.751
239	59484.83883 	0.013
240	59484.83883 	0.02
241	59484.83883 	0.038
242	59484.83883 	1.07
243	59484.83915 	0.103
244	59484.83926 	0.044
245	59484.83927 	0.024
246	59484.83955 	2.588
247	59484.83990 	0.348
248	59484.84035 	0.134
249	59484.84070 	0.31
250	59484.84074 	0.041
251	59484.84074 	0.052
252	59484.84074 	0.047
253	59484.84076 	0.551
254	59484.84085 	0.11
255	59484.84100 	0.933
256	59484.84128 	0.123
257	59484.84168 	0.572
258	59484.84168 	1.407
259	59484.84170 	0.081
260	59484.84173 	0.314
261	59484.84180 	0.329
262	59484.84199 	2.041
263	59484.84200 	0.064
264	59484.84205 	0.754
265	59484.84211 	6.456
266	59484.84211 	3.237
267	59484.84232 	0.05
268	59484.84234 	0.096
269	59484.84234 	0.039
270	59484.84235 	0.026
271	59484.84263 	0.207
272	59484.84289 	5.823
273	59484.84309 	0.084
274	59484.84313 	0.052
275	59484.84313 	0.878
276	59484.84336 	0.073
277	59484.84337 	0.027
278	59484.84371 	0.092
279	59484.84394 	1.92
280	59484.84394 	0.369
281	59484.84412 	0.065
282	59484.84419 	2.506
283	59484.84434 	1.321
284	59484.84441 	1.611
285	59484.84447 	2.185
286	59484.84455 	0.168
287	59484.84456 	4.245
288	59484.84456 	0.114
289	59484.84456 	0.135
290	59484.84456 	0.121
291	59484.84477 	0.044
292	59484.84502 	0.268
293	59484.84518 	0.688
294	59484.84518 	9.734
295	59484.84554 	0.175
296	59484.84563 	0.59
297	59484.84612 	2.108
298	59484.84633 	0.17
299	59484.84654 	0.073
300	59484.84702 	0.979
301	59484.84716 	0.407
302	59484.84735 	0.339
303	59484.84797 	0.078
304	59484.84802 	0.463
305	59484.84802 	0.634
306	59484.84806 	0.194
307	59484.84824 	2.796
308	59484.84824 	2.4
309	59484.84873 	0.048
310	59484.84908 	0.109
311	59484.84957 	0.102
312	59484.84957 	1.305
313	59484.84960 	0.188
314	59484.84962 	2.074
315	59484.84969 	1.044
316	59484.85013 	1.642
317	59484.85043 	0.343
318	59484.85043 	0.098
319	59484.85043 	1.577
320	59484.85061 	1.229
321	59484.85066 	0.489
322	59484.85066 	0.048
323	59484.85084 	1.219
324	59484.85130 	1.794
325	59484.85153 	0.03
326	59484.85197 	0.979
327	59484.85213 	0.01
328	59484.85234 	0.325
329	59484.85253 	2.865
330	59484.85253 	0.577
331	59484.85267 	0.034
332	59484.85300 	1.843
333	59484.85309 	0.065
334	59484.85311 	3.144
335	59484.85469 	4.547
336	59484.85470 	0.082
337	59484.85471 	0.037
338	59484.85513 	0.122
339	59484.85517 	1.5
340	59485.78409 	0.053
341	59485.78430 	0.327
342	59485.78430 	0.228
343	59485.78430 	1.502
344	59485.78439 	0.083
345	59485.78444 	0.07
346	59485.78444 	1.947
347	59485.78444 	0.115
348	59485.78445 	0.246
349	59485.78454 	0.152
350	59485.78456 	0.091
351	59485.78477 	1.526
352	59485.78498 	0.018
353	59485.78508 	0.615
354	59485.78515 	0.318
355	59485.78516 	2.639
356	59485.78516 	2.754
357	59485.78527 	1.287
358	59485.78533 	0.179
359	59485.78541 	0.087
360	59485.78552 	0.09
361	59485.78553 	0.554
362	59485.78553 	0.048
363	59485.78553 	0.282
364	59485.78567 	1.548
365	59485.78593 	2.61
366	59485.78593 	0.393
367	59485.78593 	0.141
368	59485.78595 	0.037
369	59485.78595 	0.031
370	59485.78613 	0.359
371	59485.78635 	0.616
372	59485.78667 	0.054
373	59485.78667 	0.049
374	59485.78667 	0.052
375	59485.78668 	0.06
376	59485.78668 	0.038
377	59485.78668 	1.422
378	59485.78676 	0.241
379	59485.78714 	0.059
380	59485.78737 	0.527
381	59485.78737 	0.039
382	59485.78750 	0.075
383	59485.78758 	0.054
384	59485.78758 	0.98
385	59485.78759 	0.527
386	59485.78764 	0.995
387	59485.78764 	0.046
388	59485.78764 	0.208
389	59485.78787 	1.882
390	59485.78793 	0.153
391	59485.78794 	0.138
392	59485.78794 	0.037
393	59485.78797 	0.088
394	59485.78797 	0.964
395	59485.78803 	0.416
396	59485.78822 	0.098
397	59485.78843 	0.166
398	59485.78843 	0.056
399	59485.78847 	0.475
400	59485.78854 	1.718
401	59485.78864 	0.58
402	59485.78864 	0.696
403	59485.78879 	0.146
404	59485.78893 	0.026
405	59485.78895 	0.192
406	59485.78905 	0.02
407	59485.78905 	0.121
408	59485.78911 	0.918
409	59485.78929 	2.6
410	59485.78942 	0.324
411	59485.78952 	2.324
412	59485.78960 	0.182
413	59485.78960 	0.709
414	59485.78988 	1.641
415	59485.78991 	0.096
416	59485.78999 	0.112
417	59485.79000 	1.967
418	59485.79017 	0.069
419	59485.79017 	0.791
420	59485.79017 	0.223
421	59485.79019 	0.266
422	59485.79020 	1.491
423	59485.79020 	0.051
424	59485.79020 	0.8
425	59485.79038 	0.125
426	59485.79038 	2.26
427	59485.79038 	0.255
428	59485.79039 	0.587
429	59485.79041 	0.495
430	59485.79069 	0.161
431	59485.79077 	0.559
432	59485.79128 	0.094
433	59485.79129 	0.229
434	59485.79144 	0.094
435	59485.79144 	0.429
436	59485.79147 	1.75
437	59485.79152 	0.752
438	59485.79152 	0.567
439	59485.79173 	0.207
440	59485.79174 	1.018
441	59485.79174 	2.068
442	59485.79180 	2.229
443	59485.79214 	0.072
444	59485.79214 	0.073
445	59485.79240 	0.675
446	59485.79240 	0.051
447	59485.79254 	1.187
448	59485.79259 	0.067
449	59485.79259 	0.133
450	59485.79305 	2.266
451	59485.79312 	1.055
452	59485.79313 	0.125
453	59485.79321 	0.076
454	59485.79323 	0.18
455	59485.79326 	0.063
456	59485.79326 	1.155
457	59485.79326 	0.174
458	59485.79331 	2.134
459	59485.79332 	0.518
460	59485.79334 	0.22
461	59485.79334 	0.628
462	59485.79349 	0.02
463	59485.79352 	0.196
464	59485.79401 	0.062
465	59485.79410 	0.04
466	59485.79453 	1.129
467	59485.79462 	0.123
468	59485.79466 	0.363
469	59485.79471 	0.129
470	59485.79479 	1.261
471	59485.79479 	0.08
472	59485.79479 	0.356
473	59485.79497 	1.479
474	59485.79499 	0.062
475	59485.79532 	0.1
476	59485.79532 	2.248
477	59485.79538 	0.666
478	59485.79538 	2.502
479	59485.79542 	0.937
480	59485.79544 	0.064
481	59485.79549 	0.162
482	59485.79549 	0.731
483	59485.79564 	0.054
484	59485.79566 	2.539
485	59485.79571 	0.081
486	59485.79581 	0.513
487	59485.79585 	0.201
488	59485.79587 	0.338
489	59485.79589 	0.211
490	59485.79604 	0.541
491	59485.79620 	0.072
492	59485.79620 	3.863
493	59485.79628 	1.525
494	59485.79672 	0.637
495	59485.79672 	0.032
496	59485.79672 	0.05
497	59485.79678 	0.062
498	59485.79701 	0.295
499	59485.79717 	1.043
500	59485.79717 	3.74
501	59485.79717 	0.709
502	59485.79718 	0.874
503	59485.79723 	0.475
504	59485.79723 	0.097
505	59485.79739 	0.064
506	59485.79752 	1.001
507	59485.79769 	0.313
508	59485.79769 	0.75
509	59485.79778 	0.221
510	59485.79782 	0.1
511	59485.79796 	0.055
512	59485.79799 	1.173
513	59485.79810 	0.072
514	59485.79818 	0.084
515	59485.79831 	0.06
516	59485.79836 	0.028
517	59485.79836 	0.06
518	59485.79836 	0.518
519	59485.79845 	0.327
520	59485.79850 	0.014
521	59485.79850 	0.022
522	59485.79872 	1.308
523	59485.79888 	0.036
524	59485.79909 	1.909
525	59485.79913 	0.083
526	59485.79939 	0.721
527	59485.79939 	0.24
528	59485.79946 	0.058
529	59485.79950 	0.059
530	59485.79958 	0.045
531	59485.79970 	0.47
532	59485.79989 	0.078
533	59485.79998 	0.101
534	59485.80009 	0.139
535	59485.80027 	0.301
536	59485.80030 	2.727
537	59485.80036 	1.285
538	59485.80048 	0.101
539	59485.80048 	0.411
540	59485.80055 	0.077
541	59485.80055 	1.33
542	59485.80055 	0.319
543	59485.80068 	0.145
544	59485.80070 	0.294
545	59485.80083 	0.1
546	59485.80102 	0.659
547	59485.80102 	0.145
548	59485.80102 	0.833
549	59485.80102 	0.592
550	59485.80107 	2.361
551	59485.80107 	0.545
552	59485.80107 	0.695
553	59485.80107 	1.109
554	59485.80107 	0.195
555	59485.80123 	3.871
556	59485.80124 	0.125
557	59485.80126 	0.195
558	59485.80126 	0.864
559	59485.80126 	0.121
560	59485.80129 	0.122
561	59485.80147 	0.043
562	59485.80166 	1.748
563	59485.80168 	0.045
564	59485.80168 	0.036
565	59485.80168 	0.381
566	59485.80168 	0.011
567	59485.80168 	0.07
568	59485.80176 	1.079
569	59485.80191 	1.129
570	59485.80191 	1.981
571	59485.80197 	0.354
572	59485.80202 	0.326
573	59485.80202 	0.091
574	59485.80211 	1.325
575	59485.80214 	0.097
576	59485.80236 	2.457
577	59485.80236 	0.148
578	59485.80239 	5.03
579	59485.80252 	0.152
580	59485.80254 	0.326
581	59485.80267 	3.778
582	59485.80267 	0.343
583	59485.80268 	0.091
584	59485.80277 	0.263
585	59485.80277 	0.086
586	59485.80277 	0.15
587	59485.80277 	0.377
588	59485.80280 	0.133
589	59485.80290 	0.268
590	59485.80327 	0.392
591	59485.80327 	0.045
592	59485.80327 	0.055
593	59485.80351 	0.078
594	59485.80370 	1.245
595	59485.80389 	0.101
596	59485.80391 	0.212
597	59485.80400 	0.085
598	59485.80408 	0.38
599	59485.80409 	2.031
600	59485.80414 	0.12
601	59485.80414 	0.328
602	59485.80415 	0.415
603	59485.80415 	0.507
604	59485.80428 	1.08
605	59485.80428 	0.157
606	59485.80428 	0.817
607	59485.80439 	0.808
608	59485.80440 	0.111
609	59485.80449 	0.526
610	59485.80449 	0.197
611	59485.80463 	0.576
612	59485.80475 	2.739
613	59485.80485 	0.122
614	59485.80485 	0.894
615	59485.80485 	0.526
616	59485.80485 	0.142
617	59485.80485 	0.086
618	59485.80502 	0.749
619	59485.80516 	0.84
620	59485.80528 	0.092
621	59485.80528 	0.488
622	59485.80528 	0.154
623	59485.80550 	0.539
624	59485.80566 	0.93
625	59485.80566 	0.489
626	59485.80593 	0.143
627	59485.80593 	0.212
628	59485.80603 	0.934
629	59485.80604 	0.046
630	59485.80626 	0.616
631	59485.80626 	0.056
632	59485.80626 	3.328
633	59485.80673 	0.087
634	59485.80679 	0.081
635	59485.80684 	0.208
636	59485.80688 	0.8
637	59485.80689 	0.074
638	59485.80690 	0.297
639	59485.80694 	0.702
640	59485.80694 	0.227
641	59485.80695 	0.119
642	59485.80695 	0.042
643	59485.80697 	0.476
644	59485.80710 	0.013
645	59485.80711 	0.008
646	59485.80711 	0.125
647	59485.80711 	0.113
648	59485.80717 	0.053
649	59485.80738 	0.88
650	59485.80740 	0.08
651	59485.80740 	0.039
652	59485.80741 	0.073
653	59485.80751 	1.133
654	59485.80751 	0.03
655	59485.80751 	0.194
656	59485.80760 	0.27
657	59485.80760 	1.048
658	59485.80764 	0.173
659	59485.80770 	1.145
660	59485.80770 	0.035
661	59485.80779 	0.283
662	59485.80791 	0.078
663	59485.80791 	0.251
664	59485.80798 	0.068
665	59485.80800 	0.388
666	59485.80800 	0.109
667	59485.80800 	0.184
668	59485.80806 	0.633
669	59485.80809 	0.042
670	59485.80809 	2.914
671	59485.80810 	0.839
672	59485.80823 	0.978
673	59485.80823 	1.766
674	59485.80823 	2.157
675	59485.80834 	0.075
676	59485.80835 	1.454
677	59485.80836 	1.485
678	59485.80836 	1.743
679	59485.80836 	0.708
680	59485.80853 	0.098
681	59485.80860 	0.088
682	59485.80869 	0.109
683	59485.80869 	2.097
684	59485.80869 	0.172
685	59485.80872 	0.045
686	59485.80872 	0.163
687	59485.80872 	0.318
688	59485.80872 	0.141
689	59485.80890 	0.176
690	59485.80898 	0.17
691	59485.80906 	5.636
692	59485.80913 	1.608
693	59485.80916 	0.066
694	59485.80917 	0.381
695	59485.80923 	0.937
696	59485.80923 	1.21
697	59485.80930 	1.671
698	59485.80950 	1.574
699	59485.80963 	0.138
700	59485.80971 	0.526
701	59485.80971 	0.232
702	59485.80975 	0.643
703	59485.81000 	1.292
704	59485.81029 	0.029
705	59485.81029 	0.553
706	59485.81032 	0.197
707	59485.81033 	3.474
708	59485.81035 	0.483
709	59485.81049 	0.955
710	59485.81060 	0.079
711	59485.81064 	0.072
712	59485.81101 	0.034
713	59485.81101 	2.087
714	59485.81101 	0.154
715	59485.81110 	0.065
716	59485.81110 	3.368
717	59485.81112 	3.072
718	59485.81114 	0.051
719	59485.81120 	1.161
720	59485.81128 	0.044
721	59485.81145 	0.618
722	59485.81189 	0.101
723	59485.81199 	0.043
724	59485.81200 	0.059
725	59485.81211 	0.046
726	59485.81212 	0.111
727	59485.81236 	1.849
728	59485.81242 	0.14
729	59485.81242 	0.048
730	59485.81246 	0.989
731	59485.81259 	0.859
732	59485.81263 	0.116
733	59485.81268 	0.059
734	59485.81280 	0.045
735	59485.81287 	0.197
736	59485.81289 	3.344
737	59485.81291 	0.09
738	59485.81298 	1.195
739	59485.81298 	0.27
740	59485.81298 	0.422
741	59485.81313 	0.081
742	59485.81322 	0.096
743	59485.81325 	0.07
744	59485.81326 	0.889
745	59485.81337 	0.141
746	59485.81342 	0.233
747	59485.81349 	0.316
748	59485.81355 	0.309
749	59485.81365 	0.131
750	59485.81372 	0.76
751	59485.81373 	3.318
752	59485.81376 	0.025
753	59485.81376 	1.959
754	59485.81376 	1.886
755	59485.81385 	0.073
756	59485.81385 	2.165
757	59485.81386 	1.105
758	59485.81402 	0.893
759	59485.81402 	0.029
760	59485.81402 	0.054
761	59485.81412 	0.102
762	59485.81419 	1.195
763	59485.81419 	0.209
764	59485.81436 	1.228
765	59485.81459 	1.457
766	59485.81459 	0.054
767	59485.81461 	1.561
768	59485.81461 	0.277
769	59485.81499 	0.23
770	59485.81504 	0.053
771	59485.81517 	2.43
772	59485.81533 	0.068
773	59485.81546 	0.074
774	59485.81554 	0.865
775	59485.81555 	1.258
776	59485.81570 	4.503
777	59485.81573 	0.019
778	59485.81594 	0.296
779	59485.81597 	0.061
780	59485.81597 	0.031
781	59485.81599 	0.328
782	59485.81599 	0.031
783	59485.81631 	0.047
784	59485.81643 	0.053
785	59485.81663 	0.873
786	59485.81673 	0.229
787	59485.81677 	1.612
788	59485.81772 	0.615
789	59485.81772 	0.031
790	59485.81780 	0.203
791	59485.81780 	0.704
792	59485.81808 	1.428
793	59485.81809 	1.895
794	59485.81813 	0.206
795	59485.81820 	0.043
796	59485.81831 	0.572
797	59485.81878 	0.277
798	59485.81890 	0.199
799	59485.81890 	0.027
800	59485.81890 	0.047
801	59485.81891 	0.084
802	59485.81891 	0.015
803	59485.81891 	0.683
804	59485.81891 	0.151
805	59485.81941 	0.076
806	59485.81961 	0.21
807	59485.81961 	2.284
808	59485.81961 	0.766
809	59485.81973 	0.192
810	59485.81973 	0.139
811	59485.81980 	0.939
812	59485.81980 	2.576
813	59485.81991 	3.324
814	59485.81995 	0.293
815	59485.81995 	1.635
816	59485.81995 	0.134
817	59485.81997 	1.735
818	59485.81997 	0.47
819	59485.81998 	1.549
820	59485.82021 	0.797
821	59485.82021 	0.417
822	59485.82023 	0.094
823	59485.82033 	1.651
824	59485.82044 	0.811
825	59485.82058 	0.067
826	59485.82061 	0.032
827	59485.82070 	0.057
828	59485.82074 	0.047
829	59485.82088 	0.665
830	59485.82093 	0.07
831	59485.82093 	1.896
832	59485.82095 	0.084
833	59485.82095 	0.177
834	59485.82096 	0.357
835	59485.82100 	0.42
836	59485.82105 	0.057
837	59485.82112 	0.107
838	59485.82112 	0.128
839	59485.82118 	0.627
840	59485.82118 	1.101
841	59485.82121 	0.048
842	59485.82121 	0.535
843	59485.82159 	0.071
844	59485.82176 	0.184
845	59485.82176 	1.614
846	59485.82176 	0.287
847	59485.82179 	0.045
848	59485.82180 	0.492
849	59485.82181 	1.403
850	59485.82183 	1.055
851	59485.82183 	0.03
852	59485.82185 	0.319
853	59485.82218 	0.308
854	59485.82218 	0.709
855	59485.82240 	1.887
856	59485.82243 	0.147
857	59485.82243 	1.911
858	59485.82243 	0.178
859	59485.82256 	0.325
860	59485.82258 	0.077
861	59485.82259 	0.672
862	59485.82265 	0.483
863	59485.82265 	0.04
864	59485.82265 	0.538
865	59485.82268 	0.86
866	59485.82269 	0.1
867	59485.82276 	0.158
868	59485.82285 	0.093
869	59485.82290 	0.851
870	59485.82290 	0.044
871	59485.82308 	0.133
872	59485.82326 	1.002
873	59485.82333 	0.108
874	59485.82333 	0.042
875	59485.82367 	0.31
876	59485.82367 	0.987
877	59485.82367 	0.021
878	59485.82374 	1.516
879	59485.82377 	2.576
880	59485.82381 	0.742
881	59485.82393 	0.042

FAST (ATel 15288)
Burst	TOA (MJD)	Fluece (Jy ms)
1	59655.42543	0.367

uGMRT (Marthi et al. 2022, MNRAS, 509, 2209)		
Burst	TOA (MJD)	Fluece (Jy ms)
1	59309.54336	18.1
2	59309.54592	30.1
3	59309.54659	41.3
4	59309.54761	9.3
5	59309.55935	12.8
6	59309.57849	9.7
7	59309.58137	31.9
8	59309.58187	25.8
9	59309.58419	20.2
10	59309.5853	4.8
11	59309.58922	10.5
12	59309.59043	9.3
13	59309.59576	58.4
14	59309.59627	16.4
15	59309.5964	2.6
16	59309.59783	52.9
17	59309.5987	7.9
18	59309.61102	19
19	59309.61109	108
20	59309.61257	9.3
21	59309.61413	5.4
22	59309.61762	66.5
23	59309.61763	29
24	59309.62025	21.7
25	59309.62099	9
26	59309.62316	9.3
27	59309.62398	20.4
28	59309.6241	1
29	59309.62932	9.6
30	59309.63121	29.7
31	59309.64164	11.9
32	59309.64281	31.3
33	59309.64447	10
34	59309.64848	8.9
35	59309.65177	7.4
36	59309.65383	7.2
37	59309.65604	12.1
38	59309.65639	18.9
39	59309.65703	8.5
40	59309.6593	11.2
41	59309.66312	12.4
42	59309.66338	17.8
43	59309.66416	22.2
44	59309.66577	32.5
45	59309.67941	11.4
46	59309.67978	14.7
47	59309.68965	7
48	59309.68973	5.4

ASKAP (Kumar et al. 2022, MNRAS, 512, 3400)
Burst	TOA (MJD)	Fluece (Jy ms)
1	59305.45387	125
2	59305.47977	640
3	59306.24081	51
4	59307.27424	21
5	59307.31352	58
6	59308.28724	51
7	59308.32241	27
8	59309.32337	41
9	59311.25773	35
10	59311.25838	29
11	59311.37901	28
12	59309.25276	18
13	59309.25832	13
14	59309.27224	16
15	59309.27939	15
16	59309.28563	41
		
EVN (Nimmo et al. 2022, ApJL, 927, L3)
Burst	TOA (MJD)	Fluece (Jy ms)
1	59314.63582	0.94
2	59314.67003	3.68
3	59314.69181	0.61
4	59314.71491	1.49
5	59314.75154	1.53
6	59314.79581	6.5
7	59314.80441	0.94
8	59314.82592	4.48
9	59314.83038	1.4
10	59314.84159	1.31
11	59314.85889	5.92
12	59314.86388	0.63
13	59314.87199	3.39
14	59323.65617	6.56
15	59323.6692	1.98
16	59323.71604	1.95
17	59323.74153	1.78
18	59323.79498	0.91
		
CHIME (Lanman et al. 2022, ApJ, 927, 59)
Burst	TOA (MJD)	Fluece (Jy ms)
1	59177.36854	6
2	59177.37137	5
3	59193.32966	26
4	59199.31203	4.2
5	59265.22943	5.8
6	59274.1033	12
7	59294.05026	9
8	59295.04912	19
9	59296.04727	8
10	59299.0374	11
11	59300.0322	8
12	59300.03693	25
13	59300.03693	21
14	59301.03412	3.2
15	59304.02299	14
16	59304.02591	9
17	59304.02679	6
18	59304.0273	9
19	59308.00814	5
20	59309.00945	23
21	59309.00945	30
22	59315.98848	7
23	59315.99297	17
24	59316.98343	6
25	59338.92942	11
26	59352.88963	9
27	59355.88009	17
28	59356.88116	22
29	59359.87042	19
30	59359.87039	7
31	59360.86768	140
32	59360.86503	11
33	59361.86446	7
34	59478.54664	1*
		
Effelsberg (Hilmarsson et al. 2021, MNRAS, 508, 5354)
Burst	TOA (MJD)	Fluece (Jy ms)
1	59313.74325	1.06
2	59313.74897	9.27
3	59313.75328	3.54
4	59313.76668	0.92
5	59313.76668	4.28
6	59313.77488	28.12
7	59313.78796	2.22
8	59313.8095	1.02
9	59313.81915	23.78
10	59313.82721	0.66
11	59313.82721	0.47
12	59313.83063	1.09
13	59313.83241	0.76
14	59313.84108	1.19
15	59313.8438	2.75
16	59313.84714	0.94
17	59313.85343	0.91
18	59313.85675	1.02
19	59313.88723	0.63
20	59313.89051	8.94

Effelsberg (ATel 14933)
Burst	TOA (MJD)	Fluece (Jy ms)
1	59478.0446	1*
2	59478.05774	1*
3	59478.14018	1*
4	59478.15656	1*
5	59478.17059	1*
6	59478.18072	1*
7	59478.21226	1*
8	59478.21877	1*
9	59478.22835	1*
		
VLA(Atel 14526)
Burst	TOA (MJD)	Fluece (Jy ms)	
1	59311.01294	2.4
	
UDSC/JAXA (ATel 15285)
Burst	TOA (MJD)	Fluece (Jy ms)	
1	59628.59831	199

Apertif (ATel 15197)
Burst	TOA (MJD)	Fluece (Jy ms)		
1	59611.83542	156
2	59611.91173	35
		
Westerbork-RT1 (ATel 15192)
Burst	TOA (MJD)	Fluece (Jy ms)		
1	59603.75451	58
2	59603.79923	37
3	59605.83573	771
		
Westerbork-RT1 (ATel 15190)
Burst	TOA (MJD)	Fluece (Jy ms)
1	59602.99281	32

Onsala (ATel 14605)
Burst	TOA (MJD)	Fluece (Jy ms)		
1	59326.64278	20
2	59329.51796	74
		
SRT (ATel 14556)
Burst	TOA (MJD)	Fluece (Jy ms)		
1	59319.5162	334

NSRT (ATel 15289)
Burst	TOA (MJD)	Fluece (Jy ms)		
1	59638.74382	1*
2	59655.42545	1*
3	59657.30638	1*
